"","subject","Activity","value"
"21",1,"WALKING",-0.43340176871318
"22",2,"WALKING",-0.485945198296327
"23",3,"WALKING",-0.51835911919331
"24",4,"WALKING",-0.568450456629395
"33",4,"WALKING_UPSTAIRS",-0.474957978145908
"25",5,"WALKING",-0.476629682932572
"26",6,"WALKING",-0.548435435666143
"34",6,"WALKING_UPSTAIRS",-0.166655005310175
"35",7,"WALKING_UPSTAIRS",-0.477490113164926
"36",8,"WALKING_UPSTAIRS",-0.448217800491799
"37",9,"WALKING_UPSTAIRS",-0.496222026267963
"27",10,"WALKING_DOWNSTAIRS",-0.412233433711476
"38",10,"WALKING_UPSTAIRS",-0.731383531213742
"39",11,"WALKING_UPSTAIRS",-0.533285646067873
"7",12,"SITTING",-0.473910460898487
"28",12,"WALKING_DOWNSTAIRS",-0.540933052721947
"8",13,"SITTING",-0.495152336926342
"29",14,"WALKING_DOWNSTAIRS",-0.34534623624576
"40",14,"WALKING_UPSTAIRS",-0.73545091282421
"30",15,"WALKING_DOWNSTAIRS",-0.519508555041282
"31",16,"WALKING_DOWNSTAIRS",-0.573828932538216
"9",17,"SITTING",-0.52009844396673
"32",17,"WALKING_DOWNSTAIRS",-0.754103647178987
"10",18,"SITTING",-0.737605739056455
"14",18,"STANDING",-0.570966919262857
"11",19,"SITTING",-0.483694507252973
"1",20,"LAYING",-0.431997892610083
"15",20,"STANDING",-0.502460501474267
"12",21,"SITTING",-0.557539910547687
"13",22,"SITTING",-0.555508738496499
"16",22,"STANDING",-0.430989252386922
"17",23,"STANDING",-0.461761445953594
"2",24,"LAYING",-0.549409308325907
"18",25,"STANDING",-0.56216955783249
"19",26,"STANDING",-0.546549940962061
"3",27,"LAYING",-0.514035226332209
"20",27,"STANDING",-0.74352547466077
"4",28,"LAYING",-0.546459747612213
"5",29,"LAYING",-0.517450675144764
"6",30,"LAYING",-0.500687574465293
